line_id,order_id,so_number,product_code,quantity,unit_price,line_total,created_at
506802,67002,BH26.0935,000104002009000,1.0,1898148.0,1898148.0,2026-05-13 16:07:08.623010+00:00
506803,67003,BH26.0936,000230002013000,1.0,2861111.0,2861111.0,2026-05-13 16:07:08.623010+00:00
506804,67004,BH26.0937,000103002009000,1.0,1935185.0,1935185.0,2026-05-13 16:07:08.623010+00:00
506805,67005,BH26.0938,000331002008000,1.0,2953704.0,2953704.0,2026-05-13 16:07:08.623010+00:00
506806,67006,BH26.0939,000225002023000,2.0,1616111.0,3232222.0,2026-05-13 16:07:08.623010+00:00
506807,67006,BH26.0939,000225002002000,3.0,1616111.0,4848333.0,2026-05-13 16:07:08.623010+00:00
506808,67006,BH26.0939,000225002015000,1.0,1616111.0,1616111.0,2026-05-13 16:07:08.623010+00:00
506809,67006,BH26.0939,000225002025000,2.0,1616111.0,3232222.0,2026-05-13 16:07:08.623010+00:00
506810,67006,BH26.0939,000209002007000,1.0,1469444.0,1469444.0,2026-05-13 16:07:08.623010+00:00
506811,67006,BH26.0939,000336002004000,1.0,1377777.0,1377777.0,2026-05-13 16:07:08.623010+00:00
506812,67006,BH26.0939,000224002023000,1.0,1555000.0,1555000.0,2026-05-13 16:07:08.623010+00:00
506813,67006,BH26.0939,000225002023000,1.0,1616111.0,1616111.0,2026-05-13 16:07:08.623010+00:00
506814,67006,BH26.0939,000230002009000,1.0,1799444.0,1799444.0,2026-05-13 16:07:08.623010+00:00
506815,67006,BH26.0939,000230002013000,2.0,1799444.0,3598888.0,2026-05-13 16:07:08.623010+00:00
506816,67006,BH26.0939,000230002023000,3.0,1799444.0,5398332.0,2026-05-13 16:07:08.623010+00:00
506817,67006,BH26.0939,000217003001000,1.0,1591666.0,1591666.0,2026-05-13 16:07:08.623010+00:00
506818,67006,BH26.0939,000217003008000,3.0,1591666.0,4774998.0,2026-05-13 16:07:08.623010+00:00
506819,67006,BH26.0939,000217003005000,1.0,1591666.0,1591666.0,2026-05-13 16:07:08.623010+00:00
506820,67006,BH26.0939,000216003001000,2.0,1530555.0,3061110.0,2026-05-13 16:07:08.623010+00:00
506821,67006,BH26.0939,1040010000080000,1.0,1326851.0,1326851.0,2026-05-13 16:07:08.623010+00:00
506822,67006,BH26.0939,000337002001000,1.0,1622222.0,1622222.0,2026-05-13 16:07:08.623010+00:00
506823,67006,BH26.0939,000125002009000,2.0,1310555.0,2621110.0,2026-05-13 16:07:08.623010+00:00
506824,67006,BH26.0939,000331002001000,1.0,1799444.0,1799444.0,2026-05-13 16:07:08.623010+00:00
506825,67006,BH26.0939,1000270020150000,1.0,943888.0,943888.0,2026-05-13 16:07:08.623010+00:00
506826,67006,BH26.0939,1000270020220000,3.0,943888.0,2831664.0,2026-05-13 16:07:08.623010+00:00
506827,67006,BH26.0939,1030010000080000,2.0,1262037.0,2524074.0,2026-05-13 16:07:08.623010+00:00
506828,67006,BH26.0939,1040010000080000,5.0,1326851.0,6634255.0,2026-05-13 16:07:08.623010+00:00
506829,67006,BH26.0939,000105002004000,2.0,1132407.0,2264814.0,2026-05-13 16:07:08.623010+00:00
506830,67006,BH26.0939,000105002013000,2.0,1132407.0,2264814.0,2026-05-13 16:07:08.623010+00:00
506831,67006,BH26.0939,000106002001000,2.0,1262037.0,2524074.0,2026-05-13 16:07:08.623010+00:00
506832,67006,BH26.0939,000106002013000,2.0,1262037.0,2524074.0,2026-05-13 16:07:08.623010+00:00
506833,67006,BH26.0939,000124002009000,2.0,1111111.0,2222222.0,2026-05-13 16:07:08.623010+00:00
506834,67006,BH26.0939,000124002004000,1.0,1111111.0,1111111.0,2026-05-13 16:07:08.623010+00:00
506835,67006,BH26.0939,000336002001000,2.0,1377777.0,2755554.0,2026-05-13 16:07:08.623010+00:00
506836,67006,BH26.0939,000336002022000,1.0,1377777.0,1377777.0,2026-05-13 16:07:08.623010+00:00
506837,67007,BH26.0940,000217003008000,1.0,1591666.0,1591666.0,2026-05-13 16:07:08.623010+00:00
506838,67007,BH26.0940,000216003008000,1.0,1530555.0,1530555.0,2026-05-13 16:07:08.623010+00:00
506839,67007,BH26.0940,000216003001000,1.0,1530555.0,1530555.0,2026-05-13 16:07:08.623010+00:00
506840,67007,BH26.0940,000331002001000,1.0,1799444.0,1799444.0,2026-05-13 16:07:08.623010+00:00
506841,67007,BH26.0940,000337002008000,1.0,1622222.0,1622222.0,2026-05-13 16:07:08.623010+00:00
506842,67007,BH26.0940,000337002001000,1.0,1622222.0,1622222.0,2026-05-13 16:07:08.623010+00:00
506843,67007,BH26.0940,000132002022001,1.0,1310555.0,1310555.0,2026-05-13 16:07:08.623010+00:00
506844,67007,BH26.0940,000336002001000,1.0,1377777.0,1377777.0,2026-05-13 16:07:08.623010+00:00
506845,67007,BH26.0940,000336002022000,1.0,1377777.0,1377777.0,2026-05-13 16:07:08.623010+00:00
506846,67007,BH26.0940,1000240020090000,2.0,943888.0,1887776.0,2026-05-13 16:07:08.623010+00:00
506847,67007,BH26.0940,1000270020150000,2.0,943888.0,1887776.0,2026-05-13 16:07:08.623010+00:00
506848,67007,BH26.0940,1000270020220000,2.0,943888.0,1887776.0,2026-05-13 16:07:08.623010+00:00
506849,67007,BH26.0940,1000210020090000,1.0,882777.0,882777.0,2026-05-13 16:07:08.623010+00:00
506850,67007,BH26.0940,000102002023000,1.0,1132407.0,1132407.0,2026-05-13 16:07:08.623010+00:00
506851,67007,BH26.0940,000102002009000,1.0,1132407.0,1132407.0,2026-05-13 16:07:08.623010+00:00
506852,67008,BH26.0941,1000240020090000,1.0,943888.0,943888.0,2026-05-13 16:07:08.623010+00:00
506853,67008,BH26.0941,1000240020220000,1.0,943888.0,943888.0,2026-05-13 16:07:08.623010+00:00
506854,67008,BH26.0941,000230002023000,4.0,1799444.0,7197776.0,2026-05-13 16:07:08.623010+00:00
506855,67008,BH26.0941,000230002013000,3.0,1799444.0,5398332.0,2026-05-13 16:07:08.623010+00:00
506856,67008,BH26.0941,000230002009000,3.0,1799444.0,5398332.0,2026-05-13 16:07:08.623010+00:00
506857,67008,BH26.0941,1000240020220000,3.0,943888.0,2831664.0,2026-05-13 16:07:08.623010+00:00
506858,67008,BH26.0941,1000240020090000,2.0,943888.0,1887776.0,2026-05-13 16:07:08.623010+00:00
506859,67008,BH26.0941,000231002023000,1.0,2172222.0,2172222.0,2026-05-13 16:07:08.623010+00:00
506860,67008,BH26.0941,000336002022000,1.0,1377777.0,1377777.0,2026-05-13 16:07:08.623010+00:00
506861,67008,BH26.0941,000225002015000,2.0,1616111.0,3232222.0,2026-05-13 16:07:08.623010+00:00
506862,67008,BH26.0941,000225002023000,1.0,1616111.0,1616111.0,2026-05-13 16:07:08.623010+00:00
506863,67008,BH26.0941,000224002023000,2.0,1555000.0,3110000.0,2026-05-13 16:07:08.623010+00:00
506864,67009,BH26.0942,000230002009000,5.0,1799444.0,8997220.0,2026-05-13 16:07:08.623010+00:00
506865,67009,BH26.0942,000230002023000,7.0,1799444.0,12596108.0,2026-05-13 16:07:08.623010+00:00
506866,67009,BH26.0942,000336002004000,7.0,1377777.0,9644439.0,2026-05-13 16:07:08.623010+00:00
506867,67009,BH26.0942,000219002022000,4.0,1744444.0,6977776.0,2026-05-13 16:07:08.623010+00:00
506868,67009,BH26.0942,000225002015000,8.0,1616111.0,12928888.0,2026-05-13 16:07:08.623010+00:00
506869,67009,BH26.0942,000225002023000,5.0,1616111.0,8080555.0,2026-05-13 16:07:08.623010+00:00
506870,67009,BH26.0942,000232003008000,7.0,2233333.0,15633331.0,2026-05-13 16:07:08.623010+00:00
506871,67009,BH26.0942,000331002022000,7.0,1799444.0,12596108.0,2026-05-13 16:07:08.623010+00:00
506872,67009,BH26.0942,1000270020150000,2.0,943888.0,1887776.0,2026-05-13 16:07:08.623010+00:00
506873,67009,BH26.0942,000216003001000,5.0,1530555.0,7652775.0,2026-05-13 16:07:08.623010+00:00
506874,67009,BH26.0942,000216003008000,2.0,1530555.0,3061110.0,2026-05-13 16:07:08.623010+00:00
506875,67009,BH26.0942,000217003001000,3.0,1591666.0,4774998.0,2026-05-13 16:07:08.623010+00:00
506876,67009,BH26.0942,000333002001002,3.0,2294444.0,6883332.0,2026-05-13 16:07:08.623010+00:00
506877,67009,BH26.0942,000333002008000,2.0,2294444.0,4588888.0,2026-05-13 16:07:08.623010+00:00
506878,67010,BH26.0943,000230002002000,1.0,1799444.0,1799444.0,2026-05-13 16:07:08.623010+00:00
506879,67010,BH26.0943,000337002001000,1.0,1622222.0,1622222.0,2026-05-13 16:07:08.623010+00:00
506880,67010,BH26.0943,000337002008000,3.0,1622222.0,4866666.0,2026-05-13 16:07:08.623010+00:00
506881,67010,BH26.0943,000106002001000,1.0,1262037.0,1262037.0,2026-05-13 16:07:08.623010+00:00
506882,67010,BH26.0943,000106002013000,1.0,1262037.0,1262037.0,2026-05-13 16:07:08.623010+00:00
506883,67010,BH26.0943,000336002022000,3.0,1377777.0,4133331.0,2026-05-13 16:07:08.623010+00:00
506884,67010,BH26.0943,000224002002000,2.0,1555000.0,3110000.0,2026-05-13 16:07:08.623010+00:00
506885,67010,BH26.0943,000216003001000,2.0,1530555.0,3061110.0,2026-05-13 16:07:08.623010+00:00
506886,67010,BH26.0943,000219002012000,1.0,1744444.0,1744444.0,2026-05-13 16:07:08.623010+00:00
506887,67010,BH26.0943,000219002023000,1.0,1744444.0,1744444.0,2026-05-13 16:07:08.623010+00:00
506888,67010,BH26.0943,000125002009000,1.0,1310555.0,1310555.0,2026-05-13 16:07:08.623010+00:00
506889,67010,BH26.0943,000226003002000,1.0,1683333.0,1683333.0,2026-05-13 16:07:08.623010+00:00
506890,67010,BH26.0943,000230002013000,1.0,1799444.0,1799444.0,2026-05-13 16:07:08.623010+00:00
506891,67010,BH26.0943,1060010000200000,2.0,1326851.0,2653702.0,2026-05-13 16:07:08.623010+00:00
506892,67010,BH26.0943,1040010000080000,1.0,1326851.0,1326851.0,2026-05-13 16:07:08.623010+00:00
506893,67010,BH26.0943,000125002002000,1.0,1310555.0,1310555.0,2026-05-13 16:07:08.623010+00:00
506894,67011,BH26.0944,000224002026000,3.0,1555000.0,4665000.0,2026-05-13 16:07:08.623010+00:00
506895,67011,BH26.0944,000224002002000,3.0,1555000.0,4665000.0,2026-05-13 16:07:08.623010+00:00
506896,67011,BH26.0944,000217003005000,2.0,1591666.0,3183332.0,2026-05-13 16:07:08.623010+00:00
506897,67011,BH26.0944,000225002025000,4.0,1616111.0,6464444.0,2026-05-13 16:07:08.623010+00:00
506898,67011,BH26.0944,000225002015000,4.0,1616111.0,6464444.0,2026-05-13 16:07:08.623010+00:00
506899,67011,BH26.0944,000331002001000,1.0,1799444.0,1799444.0,2026-05-13 16:07:08.623010+00:00
506900,67011,BH26.0944,000331002008000,1.0,1799444.0,1799444.0,2026-05-13 16:07:08.623010+00:00
506901,67011,BH26.0944,000225002024000,3.0,1616111.0,4848333.0,2026-05-13 16:07:08.623010+00:00
506902,67011,BH26.0944,000125002002000,3.0,1310555.0,3931665.0,2026-05-13 16:07:08.623010+00:00
506903,67011,BH26.0944,000125002013000,1.0,1310555.0,1310555.0,2026-05-13 16:07:08.623010+00:00
506904,67011,BH26.0944,000217002007000,2.0,1469444.0,2938888.0,2026-05-13 16:07:08.623010+00:00
506905,67011,BH26.0944,000230002009000,2.0,1799444.0,3598888.0,2026-05-13 16:07:08.623010+00:00
506906,67011,BH26.0944,1000240020090000,1.0,943888.0,943888.0,2026-05-13 16:07:08.623010+00:00
506907,67012,BH26.0945,000331002004000,2.0,1799444.0,3598888.0,2026-05-13 16:07:08.623010+00:00
506908,67012,BH26.0945,000224002023000,2.0,1555000.0,3110000.0,2026-05-13 16:07:08.623010+00:00
506909,67012,BH26.0945,000125002009000,2.0,1310555.0,2621110.0,2026-05-13 16:07:08.623010+00:00
506910,67012,BH26.0945,000125002002000,2.0,1310555.0,2621110.0,2026-05-13 16:07:08.623010+00:00
506911,67012,BH26.0945,000125002013000,1.0,1310555.0,1310555.0,2026-05-13 16:07:08.623010+00:00
506912,67012,BH26.0945,000125002023000,2.0,1310555.0,2621110.0,2026-05-13 16:07:08.623010+00:00
506913,67012,BH26.0945,000124002009000,2.0,1111111.0,2222222.0,2026-05-13 16:07:08.623010+00:00
506914,67012,BH26.0945,000124002024000,2.0,1111111.0,2222222.0,2026-05-13 16:07:08.623010+00:00
506915,67012,BH26.0945,000336002022000,1.0,1377777.0,1377777.0,2026-05-13 16:07:08.623010+00:00
506916,67012,BH26.0945,000336002001000,1.0,1377777.0,1377777.0,2026-05-13 16:07:08.623010+00:00
